Category: All categories

Week,ebook: (Portugal)
2014-01-05,90
2014-01-12,100
2014-01-19,73
2014-01-26,72
2014-02-02,72
2014-02-09,78
2014-02-16,82
2014-02-23,79
2014-03-02,79
2014-03-09,72
2014-03-16,87
2014-03-23,75
2014-03-30,67
2014-04-06,73
2014-04-13,66
2014-04-20,65
2014-04-27,78
2014-05-04,66
2014-05-11,75
2014-05-18,68
2014-05-25,62
2014-06-01,60
2014-06-08,61
2014-06-15,53
2014-06-22,65
2014-06-29,52
2014-07-06,79
2014-07-13,72
2014-07-20,63
2014-07-27,73
2014-08-03,73
2014-08-10,99
2014-08-17,69
2014-08-24,58
2014-08-31,62
2014-09-07,70
2014-09-14,66
2014-09-21,83
2014-09-28,75
2014-10-05,77
2014-10-12,61
2014-10-19,74
2014-10-26,71
2014-11-02,62
2014-11-09,56
2014-11-16,58
2014-11-23,71
2014-11-30,67
2014-12-07,62
2014-12-14,57
2014-12-21,60
2014-12-28,70
