Category: All categories

Week,Mercedes-Benz: (Portugal)
2014-01-05,77
2014-01-12,80
2014-01-19,75
2014-01-26,73
2014-02-02,65
2014-02-09,62
2014-02-16,75
2014-02-23,78
2014-03-02,79
2014-03-09,76
2014-03-16,84
2014-03-23,69
2014-03-30,60
2014-04-06,60
2014-04-13,63
2014-04-20,69
2014-04-27,64
2014-05-04,68
2014-05-11,68
2014-05-18,59
2014-05-25,65
2014-06-01,66
2014-06-08,61
2014-06-15,59
2014-06-22,64
2014-06-29,65
2014-07-06,80
2014-07-13,67
2014-07-20,70
2014-07-27,63
2014-08-03,68
2014-08-10,71
2014-08-17,72
2014-08-24,69
2014-08-31,72
2014-09-07,75
2014-09-14,82
2014-09-21,79
2014-09-28,70
2014-10-05,70
2014-10-12,77
2014-10-19,75
2014-10-26,71
2014-11-02,71
2014-11-09,78
2014-11-16,76
2014-11-23,75
2014-11-30,73
2014-12-07,74
2014-12-14,73
2014-12-21,71
2014-12-28,91
2015-01-04,98
2015-01-11,89
2015-01-18,82
2015-01-25,80
2015-02-01,80
2015-02-08,77
2015-02-15,76
2015-02-22,77
2015-03-01,81
2015-03-08,73
2015-03-15,89
2015-03-22,83
2015-03-29,82
2015-04-05,81
2015-04-12,74
2015-04-19,73
2015-04-26,76
2015-05-03,72
2015-05-10,69
2015-05-17,68
2015-05-24,74
2015-05-31,74
2015-06-07,78
2015-06-14,79
2015-06-21,76
2015-06-28,72
2015-07-05,77
2015-07-12,77
2015-07-19,80
2015-07-26,84
2015-08-02,86
2015-08-09,85
2015-08-16,88
2015-08-23,79
2015-08-30,90
2015-09-06,88
2015-09-13,87
2015-09-20,88
2015-09-27,89
2015-10-04,82
2015-10-11,84
2015-10-18,85
2015-10-25,84
2015-11-01,84
2015-11-08,82
2015-11-15,92
2015-11-22,87
2015-11-29,88
2015-12-06,88
2015-12-13,80
2015-12-20,93
2015-12-27,100
