Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2006-01-01,64,47
2006-01-08,66,50
2006-01-15,61,51
2006-01-22,51,57
2006-01-29,59,59
2006-02-05,64,54
2006-02-12,47,66
2006-02-19,66,50
2006-02-26,52,34
2006-03-05,65,47
2006-03-12,61,60
2006-03-19,61,55
2006-03-26,49,59
2006-04-02,44,37
2006-04-09,54,46
2006-04-16,65,48
2006-04-23,61,33
2006-04-30,76,33
2006-05-07,91,43
2006-05-14,91,51
2006-05-21,99,39
2006-05-28,73,38
2006-06-04,100,38
2006-06-11,65,50
2006-06-18,42,54
2006-06-25,34,34
2006-07-02,31,49
2006-07-09,35,53
2006-07-16,30,38
2006-07-23,37,51
2006-07-30,18,57
2006-08-06,32,44
2006-08-13,28,59
2006-08-20,22,50
2006-08-27,37,53
2006-09-03,27,56
2006-09-10,16,51
2006-09-17,46,52
2006-09-24,53,44
2006-10-01,64,66
2006-10-08,57,47
2006-10-15,55,53
2006-10-22,63,49
2006-10-29,52,72
2006-11-05,62,51
2006-11-12,48,46
2006-11-19,60,44
2006-11-26,52,46
2006-12-03,54,35
2006-12-10,52,39
2006-12-17,34,29
2006-12-24,27,47
2006-12-31,41,39
