Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2009-01-04,16,48
2009-01-11,14,48
2009-01-18,12,54
2009-01-25,13,46
2009-02-01,12,53
2009-02-08,13,51
2009-02-15,15,49
2009-02-22,12,60
2009-03-01,17,49
2009-03-08,16,46
2009-03-15,14,47
2009-03-22,16,49
2009-03-29,10,64
2009-04-05,10,67
2009-04-12,14,52
2009-04-19,13,49
2009-04-26,14,54
2009-05-03,15,51
2009-05-10,13,51
2009-05-17,14,58
2009-05-24,16,52
2009-05-31,13,57
2009-06-07,10,77
2009-06-14,12,65
2009-06-21,9,75
2009-06-28,9,73
2009-07-05,10,75
2009-07-12,9,72
2009-07-19,8,72
2009-07-26,8,76
2009-08-02,7,77
2009-08-09,7,75
2009-08-16,5,75
2009-08-23,6,75
2009-08-30,7,73
2009-09-06,5,72
2009-09-13,9,62
2009-09-20,8,57
2009-09-27,9,62
2009-10-04,9,68
2009-10-11,10,57
2009-10-18,11,59
2009-10-25,10,60
2009-11-01,12,63
2009-11-08,11,65
2009-11-15,12,63
2009-11-22,10,66
2009-11-29,9,73
2009-12-06,10,72
2009-12-13,11,70
2009-12-20,6,100
2009-12-27,6,92
