Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2017-01-01,62,78
2017-01-08,81,72
2017-01-15,92,73
2017-01-22,79,82
2017-01-29,78,75
2017-02-05,77,70
2017-02-12,76,68
2017-02-19,77,78
2017-02-26,77,74
2017-03-05,85,62
2017-03-12,88,72
2017-03-19,80,67
2017-03-26,88,67
2017-04-02,68,67
2017-04-09,67,62
2017-04-16,66,76
2017-04-23,77,75
2017-04-30,82,77
2017-05-07,85,62
2017-05-14,87,79
2017-05-21,86,70
2017-05-28,100,67
2017-06-04,88,68
2017-06-11,75,75
2017-06-18,58,68
2017-06-25,57,73
2017-07-02,65,82
2017-07-09,53,73
2017-07-16,61,68
2017-07-23,48,82
2017-07-30,53,81
2017-08-06,47,84
2017-08-13,47,74
2017-08-20,50,67
2017-08-27,52,70
2017-09-03,53,71
2017-09-10,54,67
2017-09-17,60,73
2017-09-24,63,71
2017-10-01,61,68
2017-10-08,67,75
2017-10-15,73,67
2017-10-22,66,66
2017-10-29,62,72
2017-11-05,69,74
2017-11-12,85,76
2017-11-19,68,80
2017-11-26,72,71
2017-12-03,64,63
2017-12-10,74,68
2017-12-17,57,62
2017-12-24,64,77
2017-12-31,77,70
