Category: All categories

Week,Footwear: (Portugal)
2014-01-05,35
2014-01-12,65
2014-01-19,89
2014-01-26,48
2014-02-02,52
2014-02-09,0
2014-02-16,38
2014-02-23,67
2014-03-02,0
2014-03-09,69
2014-03-16,53
2014-03-23,29
2014-03-30,98
2014-04-06,0
2014-04-13,37
2014-04-20,39
2014-04-27,33
2014-05-04,31
2014-05-11,43
2014-05-18,32
2014-05-25,34
2014-06-01,0
2014-06-08,60
2014-06-15,68
2014-06-22,63
2014-06-29,0
2014-07-06,35
2014-07-13,35
2014-07-20,87
2014-07-27,45
2014-08-03,40
2014-08-10,0
2014-08-17,75
2014-08-24,97
2014-08-31,61
2014-09-07,59
2014-09-14,85
2014-09-21,0
2014-09-28,43
2014-10-05,52
2014-10-12,0
2014-10-19,35
2014-10-26,0
2014-11-02,0
2014-11-09,100
2014-11-16,98
2014-11-23,40
2014-11-30,0
2014-12-07,78
2014-12-14,0
2014-12-21,0
2014-12-28,0
