Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2017-01-01,62,46
2017-01-08,81,41
2017-01-15,92,62
2017-01-22,79,49
2017-01-29,78,48
2017-02-05,77,48
2017-02-12,76,42
2017-02-19,77,43
2017-02-26,77,39
2017-03-05,85,50
2017-03-12,88,43
2017-03-19,80,46
2017-03-26,88,46
2017-04-02,68,37
2017-04-09,67,41
2017-04-16,66,37
2017-04-23,77,43
2017-04-30,82,49
2017-05-07,85,41
2017-05-14,87,44
2017-05-21,86,43
2017-05-28,100,43
2017-06-04,88,47
2017-06-11,75,41
2017-06-18,58,35
2017-06-25,57,36
2017-07-02,65,36
2017-07-09,53,35
2017-07-16,61,35
2017-07-23,48,33
2017-07-30,53,35
2017-08-06,47,35
2017-08-13,47,37
2017-08-20,50,35
2017-08-27,52,41
2017-09-03,53,35
2017-09-10,54,41
2017-09-17,60,41
2017-09-24,63,40
2017-10-01,61,38
2017-10-08,67,36
2017-10-15,73,42
2017-10-22,66,40
2017-10-29,62,44
2017-11-05,69,46
2017-11-12,85,53
2017-11-19,68,44
2017-11-26,72,51
2017-12-03,64,49
2017-12-10,74,45
2017-12-17,57,47
2017-12-24,64,59
2017-12-31,77,52
