Category: All categories

Week,Interior design: (Portugal)
2011-01-02,80
2011-01-09,78
2011-01-16,88
2011-01-23,80
2011-01-30,81
2011-02-06,77
2011-02-13,81
2011-02-20,74
2011-02-27,86
2011-03-06,69
2011-03-13,92
2011-03-20,71
2011-03-27,70
2011-04-03,72
2011-04-10,72
2011-04-17,75
2011-04-24,58
2011-05-01,73
2011-05-08,63
2011-05-15,66
2011-05-22,75
2011-05-29,68
2011-06-05,75
2011-06-12,62
2011-06-19,57
2011-06-26,57
2011-07-03,66
2011-07-10,68
2011-07-17,75
2011-07-24,79
2011-07-31,79
2011-08-07,92
2011-08-14,94
2011-08-21,100
2011-08-28,88
2011-09-04,84
2011-09-11,90
2011-09-18,84
2011-09-25,87
2011-10-02,77
2011-10-09,83
2011-10-16,83
2011-10-23,87
2011-10-30,76
2011-11-06,81
2011-11-13,85
2011-11-20,77
2011-11-27,82
2011-12-04,90
2011-12-11,60
2011-12-18,63
2011-12-25,58
