Category: All categories

Week,Furniture: (Portugal)
2016-01-03,71
2016-01-10,64
2016-01-17,64
2016-01-24,64
2016-01-31,62
2016-02-07,70
2016-02-14,65
2016-02-21,64
2016-02-28,65
2016-03-06,68
2016-03-13,61
2016-03-20,64
2016-03-27,68
2016-04-03,62
2016-04-10,70
2016-04-17,68
2016-04-24,68
2016-05-01,62
2016-05-08,70
2016-05-15,61
2016-05-22,65
2016-05-29,59
2016-06-05,57
2016-06-12,61
2016-06-19,55
2016-06-26,51
2016-07-03,54
2016-07-10,53
2016-07-17,56
2016-07-24,54
2016-07-31,55
2016-08-07,53
2016-08-14,63
2016-08-21,64
2016-08-28,69
2016-09-04,66
2016-09-11,63
2016-09-18,69
2016-09-25,68
2016-10-02,69
2016-10-09,65
2016-10-16,66
2016-10-23,64
2016-10-30,65
2016-11-06,63
2016-11-13,62
2016-11-20,66
2016-11-27,67
2016-12-04,85
2016-12-11,73
2016-12-18,58
2016-12-25,75
2017-01-01,85
2017-01-08,88
2017-01-15,94
2017-01-22,89
2017-01-29,98
2017-02-05,85
2017-02-12,93
2017-02-19,86
2017-02-26,100
2017-03-05,92
2017-03-12,92
2017-03-19,93
2017-03-26,90
2017-04-02,94
2017-04-09,81
2017-04-16,82
2017-04-23,76
2017-04-30,83
2017-05-07,75
2017-05-14,79
2017-05-21,79
2017-05-28,82
2017-06-04,77
2017-06-11,72
2017-06-18,67
2017-06-25,77
2017-07-02,86
2017-07-09,82
2017-07-16,88
2017-07-23,76
2017-07-30,95
2017-08-06,86
2017-08-13,86
2017-08-20,85
2017-08-27,93
2017-09-03,82
2017-09-10,86
2017-09-17,88
2017-09-24,94
2017-10-01,84
2017-10-08,81
2017-10-15,84
2017-10-22,88
2017-10-29,85
2017-11-05,83
2017-11-12,82
2017-11-19,93
2017-11-26,85
2017-12-03,83
2017-12-10,66
2017-12-17,65
2017-12-24,74
2017-12-31,85
