Category: All categories

Week,Fur: (Portugal)
2015-01-04,61
2015-01-11,47
2015-01-18,78
2015-01-25,49
2015-02-01,67
2015-02-08,59
2015-02-15,22
2015-02-22,81
2015-03-01,54
2015-03-08,50
2015-03-15,49
2015-03-22,46
2015-03-29,32
2015-04-05,49
2015-04-12,49
2015-04-19,38
2015-04-26,40
2015-05-03,48
2015-05-10,13
2015-05-17,37
2015-05-24,17
2015-05-31,50
2015-06-07,69
2015-06-14,34
2015-06-21,36
2015-06-28,45
2015-07-05,49
2015-07-12,32
2015-07-19,87
2015-07-26,31
2015-08-02,48
2015-08-09,68
2015-08-16,50
2015-08-23,69
2015-08-30,43
2015-09-06,52
2015-09-13,19
2015-09-20,82
2015-09-27,65
2015-10-04,77
2015-10-11,53
2015-10-18,47
2015-10-25,58
2015-11-01,51
2015-11-08,34
2015-11-15,15
2015-11-22,100
2015-11-29,33
2015-12-06,56
2015-12-13,46
2015-12-20,75
2015-12-27,74
