Category: All categories

Week,Mobile phone: (Portugal)
2011-01-02,92
2011-01-09,83
2011-01-16,80
2011-01-23,78
2011-01-30,80
2011-02-06,76
2011-02-13,76
2011-02-20,72
2011-02-27,71
2011-03-06,72
2011-03-13,67
2011-03-20,69
2011-03-27,68
2011-04-03,61
2011-04-10,62
2011-04-17,66
2011-04-24,65
2011-05-01,68
2011-05-08,70
2011-05-15,71
2011-05-22,64
2011-05-29,71
2011-06-05,64
2011-06-12,73
2011-06-19,62
2011-06-26,66
2011-07-03,74
2011-07-10,76
2011-07-17,70
2011-07-24,78
2011-07-31,83
2011-08-07,83
2011-08-14,77
2011-08-21,80
2011-08-28,76
2011-09-04,77
2011-09-11,75
2011-09-18,76
2011-09-25,77
2011-10-02,72
2011-10-09,73
2011-10-16,65
2011-10-23,74
2011-10-30,73
2011-11-06,73
2011-11-13,76
2011-11-20,78
2011-11-27,79
2011-12-04,84
2011-12-11,87
2011-12-18,87
2011-12-25,100
