Category: All categories

Week,Fur: (Portugal)
2009-01-04,79
2009-01-11,45
2009-01-18,0
2009-01-25,59
2009-02-01,0
2009-02-08,67
2009-02-15,23
2009-02-22,0
2009-03-01,52
2009-03-08,37
2009-03-15,26
2009-03-22,33
2009-03-29,0
2009-04-05,59
2009-04-12,0
2009-04-19,59
2009-04-26,0
2009-05-03,75
2009-05-10,23
2009-05-17,50
2009-05-24,40
2009-05-31,32
2009-06-07,0
2009-06-14,58
2009-06-21,25
2009-06-28,32
2009-07-05,0
2009-07-12,0
2009-07-19,74
2009-07-26,37
2009-08-02,0
2009-08-09,0
2009-08-16,49
2009-08-23,67
2009-08-30,33
2009-09-06,51
2009-09-13,38
2009-09-20,0
2009-09-27,35
2009-10-04,52
2009-10-11,0
2009-10-18,42
2009-10-25,50
2009-11-01,49
2009-11-08,0
2009-11-15,88
2009-11-22,0
2009-11-29,46
2009-12-06,33
2009-12-13,57
2009-12-20,0
2009-12-27,100
2010-01-03,64
2010-01-10,21
2010-01-17,0
2010-01-24,59
2010-01-31,0
2010-02-07,46
2010-02-14,26
2010-02-21,34
2010-02-28,41
2010-03-07,0
2010-03-14,28
2010-03-21,66
2010-03-28,58
2010-04-04,55
2010-04-11,0
2010-04-18,32
2010-04-25,0
2010-05-02,29
2010-05-09,44
2010-05-16,0
2010-05-23,20
2010-05-30,0
2010-06-06,0
2010-06-13,44
2010-06-20,0
2010-06-27,32
2010-07-04,0
2010-07-11,48
2010-07-18,38
2010-07-25,51
2010-08-01,0
2010-08-08,66
2010-08-15,62
2010-08-22,0
2010-08-29,25
2010-09-05,39
2010-09-12,61
2010-09-19,66
2010-09-26,37
2010-10-03,52
2010-10-10,0
2010-10-17,61
2010-10-24,0
2010-10-31,0
2010-11-07,21
2010-11-14,22
2010-11-21,46
2010-11-28,0
2010-12-05,45
2010-12-12,45
2010-12-19,26
2010-12-26,28
