Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2012-01-01,74,16
2012-01-08,85,11
2012-01-15,84,14
2012-01-22,81,15
2012-01-29,70,13
2012-02-05,81,17
2012-02-12,73,21
2012-02-19,64,15
2012-02-26,77,15
2012-03-04,77,14
2012-03-11,84,17
2012-03-18,81,16
2012-03-25,64,17
2012-04-01,53,13
2012-04-08,68,16
2012-04-15,89,13
2012-04-22,75,16
2012-04-29,81,14
2012-05-06,90,15
2012-05-13,97,10
2012-05-20,95,14
2012-05-27,100,15
2012-06-03,83,15
2012-06-10,77,12
2012-06-17,67,12
2012-06-24,72,14
2012-07-01,67,15
2012-07-08,60,18
2012-07-15,51,28
2012-07-22,46,22
2012-07-29,42,21
2012-08-05,42,21
2012-08-12,41,27
2012-08-19,45,19
2012-08-26,46,22
2012-09-02,46,16
2012-09-09,58,12
2012-09-16,66,12
2012-09-23,56,12
2012-09-30,52,12
2012-10-07,58,9
2012-10-14,61,11
2012-10-21,62,12
2012-10-28,63,14
2012-11-04,67,9
2012-11-11,63,12
2012-11-18,66,9
2012-11-25,71,12
2012-12-02,69,14
2012-12-09,67,10
2012-12-16,56,15
2012-12-23,64,18
2012-12-30,72,14
