Category: All categories

Week,Petroleum: (Portugal)
2009-01-04,69
2009-01-11,81
2009-01-18,94
2009-01-25,64
2009-02-01,69
2009-02-08,61
2009-02-15,83
2009-02-22,64
2009-03-01,70
2009-03-08,80
2009-03-15,44
2009-03-22,49
2009-03-29,43
2009-04-05,31
2009-04-12,55
2009-04-19,49
2009-04-26,55
2009-05-03,54
2009-05-10,85
2009-05-17,75
2009-05-24,100
2009-05-31,66
2009-06-07,66
2009-06-14,64
2009-06-21,55
2009-06-28,61
2009-07-05,41
2009-07-12,42
2009-07-19,59
2009-07-26,43
2009-08-02,45
2009-08-09,64
2009-08-16,63
2009-08-23,22
2009-08-30,48
2009-09-06,19
2009-09-13,28
2009-09-20,48
2009-09-27,72
2009-10-04,59
2009-10-11,48
2009-10-18,52
2009-10-25,50
2009-11-01,57
2009-11-08,71
2009-11-15,39
2009-11-22,59
2009-11-29,40
2009-12-06,45
2009-12-13,61
2009-12-20,36
2009-12-27,40
