Category: All categories

Week,Nightclub: (Portugal)
2017-01-01,55
2017-01-08,52
2017-01-15,54
2017-01-22,48
2017-01-29,36
2017-02-05,46
2017-02-12,44
2017-02-19,47
2017-02-26,48
2017-03-05,47
2017-03-12,43
2017-03-19,59
2017-03-26,39
2017-04-02,47
2017-04-09,50
2017-04-16,39
2017-04-23,49
2017-04-30,44
2017-05-07,41
2017-05-14,52
2017-05-21,38
2017-05-28,42
2017-06-04,46
2017-06-11,48
2017-06-18,39
2017-06-25,38
2017-07-02,48
2017-07-09,55
2017-07-16,60
2017-07-23,66
2017-07-30,75
2017-08-06,80
2017-08-13,82
2017-08-20,59
2017-08-27,62
2017-09-03,49
2017-09-10,41
2017-09-17,41
2017-09-24,34
2017-10-01,45
2017-10-08,40
2017-10-15,40
2017-10-22,45
2017-10-29,72
2017-11-05,52
2017-11-12,37
2017-11-19,55
2017-11-26,48
2017-12-03,54
2017-12-10,48
2017-12-17,45
2017-12-24,59
2017-12-31,57
2018-01-07,37
2018-01-14,36
2018-01-21,44
2018-01-28,42
2018-02-04,44
2018-02-11,61
2018-02-18,48
2018-02-25,43
2018-03-04,44
2018-03-11,41
2018-03-18,51
2018-03-25,59
2018-04-01,43
2018-04-08,43
2018-04-15,35
2018-04-22,50
2018-04-29,47
2018-05-06,45
2018-05-13,36
2018-05-20,39
2018-05-27,50
2018-06-03,45
2018-06-10,44
2018-06-17,41
2018-06-24,47
2018-07-01,59
2018-07-08,62
2018-07-15,66
2018-07-22,78
2018-07-29,75
2018-08-05,78
2018-08-12,100
2018-08-19,80
2018-08-26,59
2018-09-02,56
2018-09-09,54
2018-09-16,49
2018-09-23,39
2018-09-30,62
2018-10-07,48
2018-10-14,41
2018-10-21,38
2018-10-28,53
2018-11-04,42
2018-11-11,44
2018-11-18,38
2018-11-25,43
2018-12-02,45
2018-12-09,53
2018-12-16,52
2018-12-23,52
2018-12-30,54
