Category: All categories

Week,Furniture: (Portugal)
2013-01-06,72
2013-01-13,85
2013-01-20,82
2013-01-27,92
2013-02-03,80
2013-02-10,79
2013-02-17,92
2013-02-24,74
2013-03-03,90
2013-03-10,83
2013-03-17,81
2013-03-24,85
2013-03-31,86
2013-04-07,87
2013-04-14,80
2013-04-21,78
2013-04-28,90
2013-05-05,80
2013-05-12,87
2013-05-19,84
2013-05-26,77
2013-06-02,75
2013-06-09,79
2013-06-16,66
2013-06-23,73
2013-06-30,63
2013-07-07,67
2013-07-14,70
2013-07-21,91
2013-07-28,84
2013-08-04,81
2013-08-11,78
2013-08-18,100
2013-08-25,87
2013-09-01,77
2013-09-08,92
2013-09-15,92
2013-09-22,90
2013-09-29,84
2013-10-06,89
2013-10-13,91
2013-10-20,90
2013-10-27,86
2013-11-03,89
2013-11-10,96
2013-11-17,84
2013-11-24,86
2013-12-01,75
2013-12-08,77
2013-12-15,71
2013-12-22,72
2013-12-29,78
