Category: All categories

Week,Novel: (Portugal)
2017-01-01,81
2017-01-08,56
2017-01-15,71
2017-01-22,60
2017-01-29,85
2017-02-05,70
2017-02-12,72
2017-02-19,53
2017-02-26,87
2017-03-05,89
2017-03-12,71
2017-03-19,88
2017-03-26,64
2017-04-02,82
2017-04-09,84
2017-04-16,85
2017-04-23,67
2017-04-30,84
2017-05-07,94
2017-05-14,62
2017-05-21,55
2017-05-28,77
2017-06-04,76
2017-06-11,100
2017-06-18,66
2017-06-25,67
2017-07-02,66
2017-07-09,95
2017-07-16,63
2017-07-23,72
2017-07-30,88
2017-08-06,69
2017-08-13,74
2017-08-20,68
2017-08-27,66
2017-09-03,69
2017-09-10,64
2017-09-17,69
2017-09-24,66
2017-10-01,64
2017-10-08,94
2017-10-15,57
2017-10-22,67
2017-10-29,77
2017-11-05,62
2017-11-12,68
2017-11-19,53
2017-11-26,83
2017-12-03,70
2017-12-10,69
2017-12-17,70
2017-12-24,71
2017-12-31,60
