Category: All categories

Week,Natural gas: (Portugal)
2015-01-04,100
2015-01-11,84
2015-01-18,59
2015-01-25,52
2015-02-01,55
2015-02-08,50
2015-02-15,45
2015-02-22,38
2015-03-01,53
2015-03-08,40
2015-03-15,51
2015-03-22,34
2015-03-29,36
2015-04-05,31
2015-04-12,44
2015-04-19,39
2015-04-26,35
2015-05-03,46
2015-05-10,42
2015-05-17,35
2015-05-24,42
2015-05-31,42
2015-06-07,27
2015-06-14,40
2015-06-21,31
2015-06-28,39
2015-07-05,46
2015-07-12,33
2015-07-19,36
2015-07-26,31
2015-08-02,35
2015-08-09,33
2015-08-16,26
2015-08-23,33
2015-08-30,31
2015-09-06,38
2015-09-13,41
2015-09-20,47
2015-09-27,42
2015-10-04,36
2015-10-11,44
2015-10-18,33
2015-10-25,40
2015-11-01,58
2015-11-08,31
2015-11-15,40
2015-11-22,54
2015-11-29,59
2015-12-06,62
2015-12-13,52
2015-12-20,44
2015-12-27,41
2016-01-03,48
2016-01-10,45
2016-01-17,52
2016-01-24,43
2016-01-31,48
2016-02-07,50
2016-02-14,49
2016-02-21,49
2016-02-28,52
2016-03-06,52
2016-03-13,42
2016-03-20,41
2016-03-27,44
2016-04-03,39
2016-04-10,52
2016-04-17,46
2016-04-24,42
2016-05-01,53
2016-05-08,50
2016-05-15,52
2016-05-22,39
2016-05-29,40
2016-06-05,42
2016-06-12,42
2016-06-19,37
2016-06-26,33
2016-07-03,39
2016-07-10,29
2016-07-17,31
2016-07-24,36
2016-07-31,33
2016-08-07,36
2016-08-14,28
2016-08-21,32
2016-08-28,28
2016-09-04,36
2016-09-11,43
2016-09-18,41
2016-09-25,34
2016-10-02,39
2016-10-09,42
2016-10-16,45
2016-10-23,44
2016-10-30,31
2016-11-06,61
2016-11-13,50
2016-11-20,74
2016-11-27,81
2016-12-04,48
2016-12-11,56
2016-12-18,60
2016-12-25,64
