Category: All categories

Week,Gasoline: (Portugal)
2012-01-01,55
2012-01-08,76
2012-01-15,78
2012-01-22,59
2012-01-29,53
2012-02-05,70
2012-02-12,79
2012-02-19,75
2012-02-26,66
2012-03-04,73
2012-03-11,70
2012-03-18,80
2012-03-25,95
2012-04-01,100
2012-04-08,75
2012-04-15,49
2012-04-22,83
2012-04-29,40
2012-05-06,61
2012-05-13,65
2012-05-20,65
2012-05-27,55
2012-06-03,71
2012-06-10,55
2012-06-17,67
2012-06-24,62
2012-07-01,77
2012-07-08,77
2012-07-15,66
2012-07-22,66
2012-07-29,89
2012-08-05,83
2012-08-12,72
2012-08-19,72
2012-08-26,84
2012-09-02,93
2012-09-09,87
2012-09-16,73
2012-09-23,79
2012-09-30,68
2012-10-07,72
2012-10-14,78
2012-10-21,82
2012-10-28,95
2012-11-04,59
2012-11-11,64
2012-11-18,60
2012-11-25,59
2012-12-02,62
2012-12-09,68
2012-12-16,48
2012-12-23,57
2012-12-30,69
