Category: All categories

Week,Footwear: (Portugal)
2017-01-01,58
2017-01-08,56
2017-01-15,79
2017-01-22,24
2017-01-29,62
2017-02-05,59
2017-02-12,48
2017-02-19,45
2017-02-26,61
2017-03-05,57
2017-03-12,71
2017-03-19,69
2017-03-26,24
2017-04-02,39
2017-04-09,55
2017-04-16,46
2017-04-23,40
2017-04-30,53
2017-05-07,72
2017-05-14,57
2017-05-21,62
2017-05-28,68
2017-06-04,72
2017-06-11,24
2017-06-18,45
2017-06-25,54
2017-07-02,76
2017-07-09,60
2017-07-16,46
2017-07-23,43
2017-07-30,25
2017-08-06,44
2017-08-13,28
2017-08-20,31
2017-08-27,16
2017-09-03,53
2017-09-10,73
2017-09-17,98
2017-09-24,61
2017-10-01,31
2017-10-08,51
2017-10-15,47
2017-10-22,45
2017-10-29,46
2017-11-05,79
2017-11-12,55
2017-11-19,100
2017-11-26,44
2017-12-03,89
2017-12-10,52
2017-12-17,52
2017-12-24,16
2017-12-31,37
