Category: All categories

Week,Offal: (Portugal)
2012-01-01,100
2012-01-08,57
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,65
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,28
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,37
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,31
2012-06-10,66
2012-06-17,0
2012-06-24,28
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,58
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,44
2012-09-23,0
2012-09-30,31
2012-10-07,69
2012-10-14,28
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,82
2012-12-16,0
2012-12-23,0
2012-12-30,0
