Category: All categories

Week,Jam: (Portugal)
2018-01-07,36
2018-01-14,33
2018-01-21,41
2018-01-28,38
2018-02-04,48
2018-02-11,44
2018-02-18,39
2018-02-25,48
2018-03-04,37
2018-03-11,46
2018-03-18,46
2018-03-25,74
2018-04-01,39
2018-04-08,39
2018-04-15,35
2018-04-22,31
2018-04-29,38
2018-05-06,32
2018-05-13,27
2018-05-20,36
2018-05-27,34
2018-06-03,36
2018-06-10,36
2018-06-17,32
2018-06-24,35
2018-07-01,38
2018-07-08,35
2018-07-15,38
2018-07-22,34
2018-07-29,33
2018-08-05,34
2018-08-12,45
2018-08-19,43
2018-08-26,52
2018-09-02,53
2018-09-09,53
2018-09-16,54
2018-09-23,51
2018-09-30,65
2018-10-07,58
2018-10-14,60
2018-10-21,57
2018-10-28,62
2018-11-04,53
2018-11-11,50
2018-11-18,43
2018-11-25,53
2018-12-02,52
2018-12-09,62
2018-12-16,89
2018-12-23,100
2018-12-30,59
