Category: All categories

Week,Novel: (Portugal)
2009-01-04,18
2009-01-11,40
2009-01-18,53
2009-01-25,34
2009-02-01,61
2009-02-08,0
2009-02-15,43
2009-02-22,47
2009-03-01,84
2009-03-08,17
2009-03-15,40
2009-03-22,44
2009-03-29,35
2009-04-05,0
2009-04-12,71
2009-04-19,0
2009-04-26,0
2009-05-03,98
2009-05-10,72
2009-05-17,0
2009-05-24,22
2009-05-31,42
2009-06-07,0
2009-06-14,19
2009-06-21,24
2009-06-28,70
2009-07-05,44
2009-07-12,27
2009-07-19,30
2009-07-26,57
2009-08-02,34
2009-08-09,58
2009-08-16,39
2009-08-23,60
2009-08-30,37
2009-09-06,0
2009-09-13,83
2009-09-20,14
2009-09-27,0
2009-10-04,63
2009-10-11,47
2009-10-18,68
2009-10-25,0
2009-11-01,40
2009-11-08,46
2009-11-15,43
2009-11-22,60
2009-11-29,66
2009-12-06,100
2009-12-13,46
2009-12-20,0
2009-12-27,70
