Category: All categories

Week,T-shirt: (Portugal)
2014-01-05,57
2014-01-12,63
2014-01-19,54
2014-01-26,58
2014-02-02,61
2014-02-09,58
2014-02-16,66
2014-02-23,62
2014-03-02,56
2014-03-09,72
2014-03-16,76
2014-03-23,73
2014-03-30,68
2014-04-06,78
2014-04-13,76
2014-04-20,91
2014-04-27,80
2014-05-04,83
2014-05-11,90
2014-05-18,93
2014-05-25,93
2014-06-01,92
2014-06-08,100
2014-06-15,86
2014-06-22,80
2014-06-29,90
2014-07-06,77
2014-07-13,87
2014-07-20,80
2014-07-27,71
2014-08-03,79
2014-08-10,71
2014-08-17,76
2014-08-24,76
2014-08-31,74
2014-09-07,78
2014-09-14,60
2014-09-21,66
2014-09-28,52
2014-10-05,58
2014-10-12,68
2014-10-19,57
2014-10-26,61
2014-11-02,54
2014-11-09,65
2014-11-16,61
2014-11-23,58
2014-11-30,65
2014-12-07,64
2014-12-14,62
2014-12-21,63
2014-12-28,50
