Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2007-01-07,69,58
2007-01-14,74,52
2007-01-21,64,47
2007-01-28,74,38
2007-02-04,60,45
2007-02-11,54,45
2007-02-18,49,46
2007-02-25,57,45
2007-03-04,80,46
2007-03-11,63,38
2007-03-18,75,41
2007-03-25,54,38
2007-04-01,57,51
2007-04-08,77,61
2007-04-15,83,43
2007-04-22,79,47
2007-04-29,69,47
2007-05-06,100,47
2007-05-13,98,40
2007-05-20,93,44
2007-05-27,95,48
2007-06-03,95,44
2007-06-10,80,36
2007-06-17,53,49
2007-06-24,52,45
2007-07-01,46,45
2007-07-08,45,47
2007-07-15,44,42
2007-07-22,43,52
2007-07-29,41,43
2007-08-05,35,43
2007-08-12,42,56
2007-08-19,46,46
2007-08-26,36,52
2007-09-02,61,58
2007-09-09,42,43
2007-09-16,53,44
2007-09-23,71,57
2007-09-30,57,56
2007-10-07,71,55
2007-10-14,77,60
2007-10-21,73,52
2007-10-28,72,53
2007-11-04,84,47
2007-11-11,85,45
2007-11-18,76,41
2007-11-25,85,38
2007-12-02,76,38
2007-12-09,77,44
2007-12-16,45,43
2007-12-23,43,41
2007-12-30,52,57
