Category: All categories

Week,Video game: (Portugal)
2011-01-02,76
2011-01-09,74
2011-01-16,80
2011-01-23,73
2011-01-30,73
2011-02-06,73
2011-02-13,74
2011-02-20,72
2011-02-27,72
2011-03-06,91
2011-03-13,64
2011-03-20,68
2011-03-27,68
2011-04-03,70
2011-04-10,88
2011-04-17,92
2011-04-24,68
2011-05-01,67
2011-05-08,67
2011-05-15,59
2011-05-22,63
2011-05-29,61
2011-06-05,71
2011-06-12,65
2011-06-19,82
2011-06-26,77
2011-07-03,79
2011-07-10,80
2011-07-17,78
2011-07-24,87
2011-07-31,88
2011-08-07,90
2011-08-14,92
2011-08-21,90
2011-08-28,87
2011-09-04,88
2011-09-11,74
2011-09-18,66
2011-09-25,66
2011-10-02,68
2011-10-09,62
2011-10-16,64
2011-10-23,70
2011-10-30,73
2011-11-06,74
2011-11-13,69
2011-11-20,76
2011-11-27,79
2011-12-04,80
2011-12-11,81
2011-12-18,100
2011-12-25,91
2012-01-01,70
2012-01-08,67
2012-01-15,64
2012-01-22,65
2012-01-29,62
2012-02-05,62
2012-02-12,61
2012-02-19,82
2012-02-26,61
2012-03-04,61
2012-03-11,62
2012-03-18,68
2012-03-25,79
2012-04-01,88
2012-04-08,62
2012-04-15,57
2012-04-22,65
2012-04-29,67
2012-05-06,61
2012-05-13,57
2012-05-20,58
2012-05-27,60
2012-06-03,68
2012-06-10,64
2012-06-17,79
2012-06-24,77
2012-07-01,77
2012-07-08,75
2012-07-15,78
2012-07-22,78
2012-07-29,81
2012-08-05,81
2012-08-12,87
2012-08-19,78
2012-08-26,84
2012-09-02,76
2012-09-09,74
2012-09-16,54
2012-09-23,57
2012-09-30,63
2012-10-07,58
2012-10-14,54
2012-10-21,54
2012-10-28,66
2012-11-04,57
2012-11-11,59
2012-11-18,55
2012-11-25,57
2012-12-02,60
2012-12-09,68
2012-12-16,84
2012-12-23,90
2012-12-30,76
