Category: All categories

Week,Beer: (Portugal)
2018-01-07,63
2018-01-14,57
2018-01-21,64
2018-01-28,49
2018-02-04,57
2018-02-11,65
2018-02-18,70
2018-02-25,56
2018-03-04,71
2018-03-11,70
2018-03-18,76
2018-03-25,73
2018-04-01,60
2018-04-08,64
2018-04-15,67
2018-04-22,73
2018-04-29,69
2018-05-06,80
2018-05-13,72
2018-05-20,78
2018-05-27,76
2018-06-03,80
2018-06-10,100
2018-06-17,77
2018-06-24,80
2018-07-01,89
2018-07-08,87
2018-07-15,93
2018-07-22,84
2018-07-29,97
2018-08-05,90
2018-08-12,75
2018-08-19,85
2018-08-26,91
2018-09-02,76
2018-09-09,77
2018-09-16,82
2018-09-23,74
2018-09-30,93
2018-10-07,79
2018-10-14,68
2018-10-21,64
2018-10-28,60
2018-11-04,56
2018-11-11,66
2018-11-18,59
2018-11-25,64
2018-12-02,62
2018-12-09,66
2018-12-16,69
2018-12-23,77
2018-12-30,71
