Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2013-01-06,85,16
2013-01-13,81,20
2013-01-20,88,26
2013-01-27,79,24
2013-02-03,76,23
2013-02-10,62,31
2013-02-17,78,22
2013-02-24,84,22
2013-03-03,88,20
2013-03-10,73,28
2013-03-17,60,29
2013-03-24,70,36
2013-03-31,75,18
2013-04-07,88,20
2013-04-14,82,23
2013-04-21,76,25
2013-04-28,83,25
2013-05-05,79,25
2013-05-12,89,21
2013-05-19,97,23
2013-05-26,99,22
2013-06-02,81,21
2013-06-09,63,23
2013-06-16,64,22
2013-06-23,55,24
2013-06-30,47,27
2013-07-07,49,25
2013-07-14,55,26
2013-07-21,48,22
2013-07-28,41,26
2013-08-04,40,23
2013-08-11,34,27
2013-08-18,43,25
2013-08-25,43,27
2013-09-01,46,19
2013-09-08,52,19
2013-09-15,54,19
2013-09-22,59,21
2013-09-29,65,21
2013-10-06,65,18
2013-10-13,65,21
2013-10-20,68,21
2013-10-27,71,22
2013-11-03,75,22
2013-11-10,72,23
2013-11-17,75,24
2013-11-24,88,18
2013-12-01,100,20
2013-12-08,88,26
2013-12-15,67,33
2013-12-22,56,36
2013-12-29,65,30
