Category: All categories

Week,T-shirt: (Portugal)
2014-01-05,57
2014-01-12,63
2014-01-19,56
2014-01-26,62
2014-02-02,61
2014-02-09,56
2014-02-16,65
2014-02-23,61
2014-03-02,56
2014-03-09,71
2014-03-16,75
2014-03-23,70
2014-03-30,66
2014-04-06,76
2014-04-13,76
2014-04-20,91
2014-04-27,74
2014-05-04,84
2014-05-11,92
2014-05-18,86
2014-05-25,89
2014-06-01,89
2014-06-08,100
2014-06-15,89
2014-06-22,78
2014-06-29,90
2014-07-06,76
2014-07-13,89
2014-07-20,79
2014-07-27,68
2014-08-03,80
2014-08-10,71
2014-08-17,72
2014-08-24,77
2014-08-31,73
2014-09-07,75
2014-09-14,62
2014-09-21,65
2014-09-28,53
2014-10-05,56
2014-10-12,61
2014-10-19,55
2014-10-26,64
2014-11-02,55
2014-11-09,63
2014-11-16,59
2014-11-23,57
2014-11-30,65
2014-12-07,64
2014-12-14,62
2014-12-21,59
2014-12-28,50
2015-01-04,51
2015-01-11,58
2015-01-18,53
2015-01-25,65
2015-02-01,63
2015-02-08,57
2015-02-15,62
2015-02-22,66
2015-03-01,65
2015-03-08,73
2015-03-15,83
2015-03-22,61
2015-03-29,64
2015-04-05,68
2015-04-12,70
2015-04-19,73
2015-04-26,72
2015-05-03,64
2015-05-10,85
2015-05-17,100
2015-05-24,97
2015-05-31,89
2015-06-07,86
2015-06-14,80
2015-06-21,87
2015-06-28,78
2015-07-05,82
2015-07-12,78
2015-07-19,86
2015-07-26,79
2015-08-02,83
2015-08-09,72
2015-08-16,81
2015-08-23,78
2015-08-30,70
2015-09-06,63
2015-09-13,64
2015-09-20,61
2015-09-27,64
2015-10-04,64
2015-10-11,64
2015-10-18,57
2015-10-25,59
2015-11-01,49
2015-11-08,67
2015-11-15,70
2015-11-22,62
2015-11-29,64
2015-12-06,77
2015-12-13,63
2015-12-20,62
2015-12-27,54
