Category: All categories

Week,Restaurant: (Portugal)
2016-01-03,53
2016-01-10,51
2016-01-17,53
2016-01-24,56
2016-01-31,61
2016-02-07,68
2016-02-14,65
2016-02-21,64
2016-02-28,60
2016-03-06,61
2016-03-13,59
2016-03-20,73
2016-03-27,62
2016-04-03,59
2016-04-10,58
2016-04-17,63
2016-04-24,73
2016-05-01,59
2016-05-08,57
2016-05-15,65
2016-05-22,75
2016-05-29,63
2016-06-05,61
2016-06-12,59
2016-06-19,62
2016-06-26,63
2016-07-03,67
2016-07-10,73
2016-07-17,74
2016-07-24,80
2016-07-31,85
2016-08-07,93
2016-08-14,97
2016-08-21,100
2016-08-28,84
2016-09-04,77
2016-09-11,71
2016-09-18,65
2016-09-25,69
2016-10-02,80
2016-10-09,70
2016-10-16,66
2016-10-23,66
2016-10-30,73
2016-11-06,64
2016-11-13,69
2016-11-20,71
2016-11-27,73
2016-12-04,84
2016-12-11,77
2016-12-18,70
2016-12-25,92
