Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2012-01-01,74,6
2012-01-08,85,4
2012-01-15,84,6
2012-01-22,81,7
2012-01-29,70,3
2012-02-05,81,5
2012-02-12,73,4
2012-02-19,64,4
2012-02-26,77,3
2012-03-04,77,5
2012-03-11,84,3
2012-03-18,81,3
2012-03-25,64,5
2012-04-01,53,1
2012-04-08,68,5
2012-04-15,89,5
2012-04-22,75,3
2012-04-29,81,2
2012-05-06,90,3
2012-05-13,97,7
2012-05-20,95,5
2012-05-27,100,4
2012-06-03,83,4
2012-06-10,77,4
2012-06-17,67,6
2012-06-24,72,5
2012-07-01,67,5
2012-07-08,60,3
2012-07-15,51,2
2012-07-22,46,3
2012-07-29,42,2
2012-08-05,42,3
2012-08-12,41,2
2012-08-19,45,2
2012-08-26,46,4
2012-09-02,46,5
2012-09-09,58,2
2012-09-16,66,6
2012-09-23,56,3
2012-09-30,52,2
2012-10-07,58,6
2012-10-14,61,4
2012-10-21,62,6
2012-10-28,63,3
2012-11-04,67,5
2012-11-11,63,7
2012-11-18,66,6
2012-11-25,71,6
2012-12-02,69,4
2012-12-09,67,3
2012-12-16,56,4
2012-12-23,64,4
2012-12-30,72,7
