Category: All categories

Week,Real Estate: (Portugal)
2012-01-01,94
2012-01-08,95
2012-01-15,93
2012-01-22,95
2012-01-29,92
2012-02-05,90
2012-02-12,87
2012-02-19,91
2012-02-26,87
2012-03-04,89
2012-03-11,83
2012-03-18,82
2012-03-25,78
2012-04-01,78
2012-04-08,86
2012-04-15,97
2012-04-22,87
2012-04-29,88
2012-05-06,79
2012-05-13,79
2012-05-20,82
2012-05-27,78
2012-06-03,76
2012-06-10,81
2012-06-17,71
2012-06-24,71
2012-07-01,78
2012-07-08,81
2012-07-15,82
2012-07-22,85
2012-07-29,87
2012-08-05,86
2012-08-12,94
2012-08-19,97
2012-08-26,100
2012-09-02,91
2012-09-09,87
2012-09-16,85
2012-09-23,84
2012-09-30,85
2012-10-07,81
2012-10-14,76
2012-10-21,86
2012-10-28,77
2012-11-04,79
2012-11-11,75
2012-11-18,73
2012-11-25,78
2012-12-02,71
2012-12-09,61
2012-12-16,59
2012-12-23,66
2012-12-30,76
