Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2015-01-04,87,15
2015-01-11,100,14
2015-01-18,93,15
2015-01-25,85,14
2015-02-01,75,17
2015-02-08,76,13
2015-02-15,70,12
2015-02-22,92,17
2015-03-01,84,16
2015-03-08,83,17
2015-03-15,84,13
2015-03-22,69,14
2015-03-29,58,12
2015-04-05,73,19
2015-04-12,82,21
2015-04-19,78,14
2015-04-26,73,12
2015-05-03,77,17
2015-05-10,84,21
2015-05-17,78,14
2015-05-24,84,17
2015-05-31,71,13
2015-06-07,75,17
2015-06-14,65,16
2015-06-21,56,20
2015-06-28,57,17
2015-07-05,50,19
2015-07-12,52,19
2015-07-19,48,18
2015-07-26,56,17
2015-08-02,41,14
2015-08-09,43,18
2015-08-16,46,16
2015-08-23,44,12
2015-08-30,55,11
2015-09-06,55,12
2015-09-13,50,9
2015-09-20,58,10
2015-09-27,65,9
2015-10-04,62,11
2015-10-11,67,12
2015-10-18,64,9
2015-10-25,69,12
2015-11-01,69,9
2015-11-08,62,10
2015-11-15,62,12
2015-11-22,71,9
2015-11-29,71,9
2015-12-06,63,9
2015-12-13,66,8
2015-12-20,39,7
2015-12-27,54,8
