Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2010-01-03,67,57
2010-01-10,72,57
2010-01-17,72,62
2010-01-24,73,47
2010-01-31,76,58
2010-02-07,67,55
2010-02-14,56,50
2010-02-21,70,56
2010-02-28,67,53
2010-03-07,70,49
2010-03-14,65,50
2010-03-21,62,48
2010-03-28,41,52
2010-04-04,57,55
2010-04-11,75,45
2010-04-18,86,42
2010-04-25,74,53
2010-05-02,84,41
2010-05-09,78,48
2010-05-16,97,46
2010-05-23,100,42
2010-05-30,84,44
2010-06-06,69,42
2010-06-13,50,43
2010-06-20,42,37
2010-06-27,44,44
2010-07-04,45,38
2010-07-11,36,45
2010-07-18,37,43
2010-07-25,47,43
2010-08-01,38,50
2010-08-08,35,54
2010-08-15,37,54
2010-08-22,36,48
2010-08-29,31,45
2010-09-05,37,61
2010-09-12,50,48
2010-09-19,55,53
2010-09-26,54,48
2010-10-03,49,50
2010-10-10,60,48
2010-10-17,49,52
2010-10-24,56,53
2010-10-31,62,46
2010-11-07,59,49
2010-11-14,68,47
2010-11-21,61,50
2010-11-28,59,45
2010-12-05,56,46
2010-12-12,50,45
2010-12-19,32,44
2010-12-26,28,50
