Category: All categories

Week,Clothing: (Portugal)
2016-01-03,94
2016-01-10,93
2016-01-17,85
2016-01-24,88
2016-01-31,93
2016-02-07,85
2016-02-14,76
2016-02-21,84
2016-02-28,76
2016-03-06,81
2016-03-13,73
2016-03-20,81
2016-03-27,80
2016-04-03,80
2016-04-10,92
2016-04-17,78
2016-04-24,81
2016-05-01,82
2016-05-08,79
2016-05-15,85
2016-05-22,87
2016-05-29,81
2016-06-05,85
2016-06-12,76
2016-06-19,76
2016-06-26,75
2016-07-03,77
2016-07-10,70
2016-07-17,78
2016-07-24,71
2016-07-31,74
2016-08-07,63
2016-08-14,71
2016-08-21,74
2016-08-28,81
2016-09-04,81
2016-09-11,85
2016-09-18,80
2016-09-25,83
2016-10-02,90
2016-10-09,88
2016-10-16,90
2016-10-23,93
2016-10-30,89
2016-11-06,86
2016-11-13,87
2016-11-20,93
2016-11-27,92
2016-12-04,93
2016-12-11,89
2016-12-18,72
2016-12-25,88
2017-01-01,82
2017-01-08,80
2017-01-15,92
2017-01-22,84
2017-01-29,91
2017-02-05,83
2017-02-12,87
2017-02-19,94
2017-02-26,85
2017-03-05,76
2017-03-12,80
2017-03-19,77
2017-03-26,78
2017-04-02,79
2017-04-09,80
2017-04-16,77
2017-04-23,80
2017-04-30,79
2017-05-07,79
2017-05-14,81
2017-05-21,81
2017-05-28,84
2017-06-04,81
2017-06-11,73
2017-06-18,77
2017-06-25,77
2017-07-02,78
2017-07-09,74
2017-07-16,77
2017-07-23,78
2017-07-30,75
2017-08-06,77
2017-08-13,72
2017-08-20,75
2017-08-27,82
2017-09-03,81
2017-09-10,79
2017-09-17,80
2017-09-24,83
2017-10-01,78
2017-10-08,81
2017-10-15,79
2017-10-22,87
2017-10-29,84
2017-11-05,89
2017-11-12,87
2017-11-19,92
2017-11-26,92
2017-12-03,95
2017-12-10,90
2017-12-17,84
2017-12-24,100
2017-12-31,99
