Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2017-01-01,62,4
2017-01-08,81,9
2017-01-15,92,5
2017-01-22,79,5
2017-01-29,78,6
2017-02-05,77,4
2017-02-12,76,5
2017-02-19,77,6
2017-02-26,77,3
2017-03-05,85,7
2017-03-12,88,9
2017-03-19,80,6
2017-03-26,88,5
2017-04-02,68,7
2017-04-09,67,2
2017-04-16,66,8
2017-04-23,77,8
2017-04-30,82,6
2017-05-07,85,6
2017-05-14,87,5
2017-05-21,86,7
2017-05-28,100,6
2017-06-04,88,8
2017-06-11,75,8
2017-06-18,58,6
2017-06-25,57,9
2017-07-02,65,8
2017-07-09,53,8
2017-07-16,61,8
2017-07-23,48,9
2017-07-30,53,8
2017-08-06,47,11
2017-08-13,47,15
2017-08-20,50,9
2017-08-27,52,7
2017-09-03,53,8
2017-09-10,54,6
2017-09-17,60,3
2017-09-24,63,3
2017-10-01,61,3
2017-10-08,67,4
2017-10-15,73,5
2017-10-22,66,4
2017-10-29,62,6
2017-11-05,69,6
2017-11-12,85,1
2017-11-19,68,5
2017-11-26,72,4
2017-12-03,64,11
2017-12-10,74,3
2017-12-17,57,3
2017-12-24,64,8
2017-12-31,77,5
