Category: All categories

Week,T-shirt: (Portugal)
2016-01-03,54
2016-01-10,53
2016-01-17,56
2016-01-24,55
2016-01-31,58
2016-02-07,54
2016-02-14,61
2016-02-21,56
2016-02-28,54
2016-03-06,61
2016-03-13,70
2016-03-20,63
2016-03-27,57
2016-04-03,69
2016-04-10,62
2016-04-17,71
2016-04-24,78
2016-05-01,84
2016-05-08,68
2016-05-15,86
2016-05-22,76
2016-05-29,78
2016-06-05,81
2016-06-12,83
2016-06-19,72
2016-06-26,93
2016-07-03,90
2016-07-10,100
2016-07-17,80
2016-07-24,80
2016-07-31,79
2016-08-07,76
2016-08-14,77
2016-08-21,78
2016-08-28,71
2016-09-04,66
2016-09-11,56
2016-09-18,71
2016-09-25,63
2016-10-02,68
2016-10-09,62
2016-10-16,62
2016-10-23,74
2016-10-30,66
2016-11-06,58
2016-11-13,64
2016-11-20,64
2016-11-27,73
2016-12-04,82
2016-12-11,88
2016-12-18,74
2016-12-25,71
