Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2012-01-01,71,0
2012-01-08,85,0
2012-01-15,82,1
2012-01-22,80,1
2012-01-29,69,2
2012-02-05,78,2
2012-02-12,73,1
2012-02-19,64,1
2012-02-26,74,1
2012-03-04,77,2
2012-03-11,82,1
2012-03-18,80,0
2012-03-25,63,2
2012-04-01,51,1
2012-04-08,67,1
2012-04-15,89,0
2012-04-22,74,2
2012-04-29,81,1
2012-05-06,90,1
2012-05-13,96,1
2012-05-20,95,1
2012-05-27,100,0
2012-06-03,82,3
2012-06-10,77,0
2012-06-17,65,1
2012-06-24,72,0
2012-07-01,66,1
2012-07-08,60,0
2012-07-15,53,0
2012-07-22,45,3
2012-07-29,41,1
2012-08-05,42,0
2012-08-12,41,0
2012-08-19,44,0
2012-08-26,45,3
2012-09-02,46,1
2012-09-09,57,4
2012-09-16,65,0
2012-09-23,57,2
2012-09-30,53,2
2012-10-07,58,1
2012-10-14,60,1
2012-10-21,61,1
2012-10-28,63,1
2012-11-04,67,0
2012-11-11,62,0
2012-11-18,65,0
2012-11-25,71,2
2012-12-02,68,0
2012-12-09,65,0
2012-12-16,55,2
2012-12-23,62,0
2012-12-30,72,1
