Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2010-01-03,67,13
2010-01-10,72,6
2010-01-17,72,10
2010-01-24,73,8
2010-01-31,76,11
2010-02-07,67,8
2010-02-14,56,8
2010-02-21,70,12
2010-02-28,67,11
2010-03-07,70,8
2010-03-14,65,9
2010-03-21,62,12
2010-03-28,41,8
2010-04-04,57,13
2010-04-11,75,11
2010-04-18,86,8
2010-04-25,74,10
2010-05-02,84,9
2010-05-09,78,9
2010-05-16,97,11
2010-05-23,100,10
2010-05-30,84,10
2010-06-06,69,10
2010-06-13,50,9
2010-06-20,42,12
2010-06-27,44,7
2010-07-04,45,9
2010-07-11,36,10
2010-07-18,37,11
2010-07-25,47,10
2010-08-01,38,8
2010-08-08,35,12
2010-08-15,37,9
2010-08-22,36,12
2010-08-29,31,11
2010-09-05,37,12
2010-09-12,50,12
2010-09-19,55,13
2010-09-26,54,8
2010-10-03,49,9
2010-10-10,60,10
2010-10-17,49,10
2010-10-24,56,9
2010-10-31,62,8
2010-11-07,59,11
2010-11-14,68,7
2010-11-21,61,9
2010-11-28,59,10
2010-12-05,56,11
2010-12-12,50,10
2010-12-19,32,10
2010-12-26,28,14
