Category: All categories

Week,Video game: (Portugal)
2010-01-03,80
2010-01-10,88
2010-01-17,83
2010-01-24,75
2010-01-31,78
2010-02-07,81
2010-02-14,96
2010-02-21,72
2010-02-28,74
2010-03-07,69
2010-03-14,69
2010-03-21,81
2010-03-28,100
2010-04-04,90
2010-04-11,66
2010-04-18,67
2010-04-25,66
2010-05-02,70
2010-05-09,69
2010-05-16,66
2010-05-23,67
2010-05-30,74
2010-06-06,78
2010-06-13,75
2010-06-20,78
2010-06-27,78
2010-07-04,73
2010-07-11,75
2010-07-18,80
2010-07-25,74
2010-08-01,80
2010-08-08,77
2010-08-15,84
2010-08-22,79
2010-08-29,82
2010-09-05,65
2010-09-12,59
2010-09-19,58
2010-09-26,63
2010-10-03,68
2010-10-10,62
2010-10-17,56
2010-10-24,61
2010-10-31,60
2010-11-07,57
2010-11-14,56
2010-11-21,59
2010-11-28,66
2010-12-05,71
2010-12-12,66
2010-12-19,96
2010-12-26,90
2011-01-02,66
2011-01-09,65
2011-01-16,70
2011-01-23,64
2011-01-30,64
2011-02-06,64
2011-02-13,65
2011-02-20,63
2011-02-27,63
2011-03-06,80
2011-03-13,56
2011-03-20,59
2011-03-27,59
2011-04-03,61
2011-04-10,77
2011-04-17,81
2011-04-24,59
2011-05-01,59
2011-05-08,59
2011-05-15,51
2011-05-22,55
2011-05-29,53
2011-06-05,62
2011-06-12,57
2011-06-19,71
2011-06-26,67
2011-07-03,69
2011-07-10,70
2011-07-17,68
2011-07-24,76
2011-07-31,77
2011-08-07,78
2011-08-14,80
2011-08-21,78
2011-08-28,76
2011-09-04,77
2011-09-11,65
2011-09-18,58
2011-09-25,58
2011-10-02,60
2011-10-09,54
2011-10-16,56
2011-10-23,61
2011-10-30,64
2011-11-06,64
2011-11-13,60
2011-11-20,66
2011-11-27,69
2011-12-04,70
2011-12-11,71
2011-12-18,87
2011-12-25,80
