Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2018-01-07,25,83
2018-01-14,27,92
2018-01-21,27,84
2018-01-28,25,84
2018-02-04,23,85
2018-02-11,22,73
2018-02-18,26,72
2018-02-25,25,77
2018-03-04,26,80
2018-03-11,30,79
2018-03-18,26,77
2018-03-25,27,71
2018-04-01,26,79
2018-04-08,25,72
2018-04-15,28,74
2018-04-22,27,81
2018-04-29,28,76
2018-05-06,25,78
2018-05-13,25,75
2018-05-20,29,78
2018-05-27,24,82
2018-06-03,31,71
2018-06-10,26,76
2018-06-17,21,68
2018-06-24,18,70
2018-07-01,18,72
2018-07-08,17,72
2018-07-15,19,74
2018-07-22,18,73
2018-07-29,17,65
2018-08-05,16,68
2018-08-12,17,76
2018-08-19,17,69
2018-08-26,17,73
2018-09-02,18,72
2018-09-09,18,76
2018-09-16,19,74
2018-09-23,24,72
2018-09-30,21,77
2018-10-07,28,77
2018-10-14,23,83
2018-10-21,24,84
2018-10-28,21,97
2018-11-04,23,96
2018-11-11,24,100
2018-11-18,25,98
2018-11-25,25,94
2018-12-02,25,96
2018-12-09,21,85
2018-12-16,20,83
2018-12-23,16,91
2018-12-30,20,84
