Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2011-01-02,64,18
2011-01-09,82,21
2011-01-16,79,22
2011-01-23,76,23
2011-01-30,73,24
2011-02-06,79,18
2011-02-13,70,17
2011-02-20,82,20
2011-02-27,75,23
2011-03-06,66,20
2011-03-13,86,17
2011-03-20,79,16
2011-03-27,75,20
2011-04-03,69,17
2011-04-10,50,16
2011-04-17,58,20
2011-04-24,72,20
2011-05-01,81,18
2011-05-08,79,19
2011-05-15,91,19
2011-05-22,100,15
2011-05-29,95,16
2011-06-05,88,13
2011-06-12,96,12
2011-06-19,79,15
2011-06-26,99,13
2011-07-03,81,18
2011-07-10,79,15
2011-07-17,91,20
2011-07-24,77,20
2011-07-31,55,20
2011-08-07,46,20
2011-08-14,42,17
2011-08-21,51,22
2011-08-28,43,25
2011-09-04,51,24
2011-09-11,48,20
2011-09-18,57,20
2011-09-25,60,23
2011-10-02,64,18
2011-10-09,60,31
2011-10-16,72,26
2011-10-23,63,28
2011-10-30,58,32
2011-11-06,67,29
2011-11-13,70,30
2011-11-20,64,21
2011-11-27,61,32
2011-12-04,58,23
2011-12-11,66,24
2011-12-18,40,30
2011-12-25,51,28
