Category: All categories

Week,Tobacco: (Portugal)
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,48
2006-02-05,33
2006-02-12,0
2006-02-19,0
2006-02-26,34
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,0
2006-04-02,0
2006-04-09,58
2006-04-16,0
2006-04-23,41
2006-04-30,100
2006-05-07,45
2006-05-14,53
2006-05-21,74
2006-05-28,25
2006-06-04,55
2006-06-11,37
2006-06-18,26
2006-06-25,0
2006-07-02,0
2006-07-09,81
2006-07-16,0
2006-07-23,59
2006-07-30,0
2006-08-06,0
2006-08-13,0
2006-08-20,62
2006-08-27,0
2006-09-03,39
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,0
2006-10-08,21
2006-10-15,0
2006-10-22,0
2006-10-29,40
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,60
2006-12-10,0
2006-12-17,32
2006-12-24,50
2006-12-31,0
2007-01-07,28
2007-01-14,56
2007-01-21,0
2007-01-28,29
2007-02-04,23
2007-02-11,47
2007-02-18,22
2007-02-25,22
2007-03-04,18
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,37
2007-04-15,73
2007-04-22,24
2007-04-29,34
2007-05-06,60
2007-05-13,26
2007-05-20,0
2007-05-27,17
2007-06-03,90
2007-06-10,0
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,36
2007-08-12,20
2007-08-19,0
2007-08-26,15
2007-09-02,25
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,17
2007-10-07,42
2007-10-14,13
2007-10-21,0
2007-10-28,15
2007-11-04,0
2007-11-11,0
2007-11-18,22
2007-11-25,0
2007-12-02,31
2007-12-09,0
2007-12-16,29
2007-12-23,30
2007-12-30,35
