Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2015-01-04,88,25
2015-01-11,100,31
2015-01-18,93,23
2015-01-25,87,24
2015-02-01,76,31
2015-02-08,77,23
2015-02-15,67,20
2015-02-22,93,20
2015-03-01,83,18
2015-03-08,82,16
2015-03-15,82,17
2015-03-22,72,13
2015-03-29,56,10
2015-04-05,72,13
2015-04-12,81,13
2015-04-19,76,11
2015-04-26,71,14
2015-05-03,78,14
2015-05-10,82,17
2015-05-17,77,17
2015-05-24,81,16
2015-05-31,71,11
2015-06-07,74,14
2015-06-14,66,13
2015-06-21,55,7
2015-06-28,55,9
2015-07-05,49,9
2015-07-12,50,12
2015-07-19,50,14
2015-07-26,56,11
2015-08-02,42,15
2015-08-09,43,14
2015-08-16,47,15
2015-08-23,46,19
2015-08-30,52,18
2015-09-06,52,14
2015-09-13,51,14
2015-09-20,58,12
2015-09-27,63,13
2015-10-04,63,13
2015-10-11,66,16
2015-10-18,64,14
2015-10-25,69,12
2015-11-01,68,8
2015-11-08,63,14
2015-11-15,63,17
2015-11-22,68,14
2015-11-29,70,14
2015-12-06,60,18
2015-12-13,64,17
2015-12-20,40,12
2015-12-27,52,12
