Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2012-01-01,74,28
2012-01-08,85,36
2012-01-15,84,33
2012-01-22,81,28
2012-01-29,70,27
2012-02-05,81,33
2012-02-12,73,31
2012-02-19,64,34
2012-02-26,77,29
2012-03-04,77,28
2012-03-11,84,28
2012-03-18,81,25
2012-03-25,64,30
2012-04-01,53,22
2012-04-08,68,26
2012-04-15,89,32
2012-04-22,75,29
2012-04-29,81,36
2012-05-06,90,44
2012-05-13,97,38
2012-05-20,95,38
2012-05-27,100,33
2012-06-03,83,29
2012-06-10,77,25
2012-06-17,67,25
2012-06-24,72,28
2012-07-01,67,35
2012-07-08,60,27
2012-07-15,51,24
2012-07-22,46,26
2012-07-29,42,21
2012-08-05,42,25
2012-08-12,41,26
2012-08-19,45,24
2012-08-26,46,18
2012-09-02,46,25
2012-09-09,58,31
2012-09-16,66,27
2012-09-23,56,29
2012-09-30,52,26
2012-10-07,58,26
2012-10-14,61,34
2012-10-21,62,31
2012-10-28,63,27
2012-11-04,67,30
2012-11-11,63,27
2012-11-18,66,29
2012-11-25,71,32
2012-12-02,69,38
2012-12-09,67,35
2012-12-16,56,47
2012-12-23,64,54
2012-12-30,72,48
