Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2016-01-03,95,41
2016-01-10,82,38
2016-01-17,88,43
2016-01-24,83,48
2016-01-31,79,42
2016-02-07,67,34
2016-02-14,81,35
2016-02-21,86,49
2016-02-28,92,42
2016-03-06,85,46
2016-03-13,79,40
2016-03-20,66,30
2016-03-27,69,34
2016-04-03,80,39
2016-04-10,89,38
2016-04-17,87,33
2016-04-24,88,40
2016-05-01,91,43
2016-05-08,97,41
2016-05-15,100,35
2016-05-22,95,43
2016-05-29,98,39
2016-06-05,77,35
2016-06-12,83,35
2016-06-19,57,32
2016-06-26,62,37
2016-07-03,59,30
2016-07-10,56,30
2016-07-17,60,24
2016-07-24,60,30
2016-07-31,50,33
2016-08-07,45,33
2016-08-14,45,30
2016-08-21,54,29
2016-08-28,64,32
2016-09-04,59,28
2016-09-11,60,31
2016-09-18,70,34
2016-09-25,75,36
2016-10-02,75,39
2016-10-09,74,38
2016-10-16,73,36
2016-10-23,77,33
2016-10-30,71,39
2016-11-06,88,30
2016-11-13,83,37
2016-11-20,79,39
2016-11-27,77,39
2016-12-04,69,40
2016-12-11,63,40
2016-12-18,51,43
2016-12-25,58,46
