Category: All categories

Week,Video game: (Portugal)
2016-01-03,55
2016-01-10,54
2016-01-17,53
2016-01-24,52
2016-01-31,55
2016-02-07,66
2016-02-14,53
2016-02-21,53
2016-02-28,52
2016-03-06,53
2016-03-13,55
2016-03-20,66
2016-03-27,62
2016-04-03,50
2016-04-10,46
2016-04-17,49
2016-04-24,54
2016-05-01,49
2016-05-08,47
2016-05-15,51
2016-05-22,54
2016-05-29,48
2016-06-05,53
2016-06-12,61
2016-06-19,56
2016-06-26,61
2016-07-03,56
2016-07-10,60
2016-07-17,70
2016-07-24,57
2016-07-31,59
2016-08-07,58
2016-08-14,60
2016-08-21,59
2016-08-28,60
2016-09-04,54
2016-09-11,44
2016-09-18,45
2016-09-25,43
2016-10-02,45
2016-10-09,43
2016-10-16,45
2016-10-23,45
2016-10-30,55
2016-11-06,51
2016-11-13,52
2016-11-20,54
2016-11-27,63
2016-12-04,81
2016-12-11,79
2016-12-18,100
2016-12-25,98
