Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2017-01-01,18,72
2017-01-08,23,80
2017-01-15,26,75
2017-01-22,23,76
2017-01-29,22,85
2017-02-05,22,91
2017-02-12,22,66
2017-02-19,22,95
2017-02-26,22,83
2017-03-05,25,78
2017-03-12,25,80
2017-03-19,23,59
2017-03-26,25,100
2017-04-02,20,69
2017-04-09,19,94
2017-04-16,19,81
2017-04-23,22,88
2017-04-30,24,70
2017-05-07,25,92
2017-05-14,25,60
2017-05-21,25,59
2017-05-28,29,52
2017-06-04,25,51
2017-06-11,22,52
2017-06-18,17,53
2017-06-25,16,46
2017-07-02,19,49
2017-07-09,15,54
2017-07-16,18,61
2017-07-23,14,60
2017-07-30,15,55
2017-08-06,14,77
2017-08-13,14,88
2017-08-20,15,72
2017-08-27,15,63
2017-09-03,15,65
2017-09-10,16,71
2017-09-17,17,75
2017-09-24,18,72
2017-10-01,18,67
2017-10-08,19,56
2017-10-15,21,73
2017-10-22,19,67
2017-10-29,18,65
2017-11-05,20,57
2017-11-12,25,59
2017-11-19,20,57
2017-11-26,21,77
2017-12-03,19,68
2017-12-10,21,63
2017-12-17,16,62
2017-12-24,19,62
2017-12-31,22,93
