Category: All categories

Week,Tobacco: (Portugal)
2015-01-04,46
2015-01-11,44
2015-01-18,31
2015-01-25,39
2015-02-01,0
2015-02-08,17
2015-02-15,41
2015-02-22,46
2015-03-01,57
2015-03-08,49
2015-03-15,25
2015-03-22,39
2015-03-29,54
2015-04-05,34
2015-04-12,32
2015-04-19,49
2015-04-26,31
2015-05-03,32
2015-05-10,100
2015-05-17,39
2015-05-24,28
2015-05-31,49
2015-06-07,23
2015-06-14,0
2015-06-21,39
2015-06-28,27
2015-07-05,34
2015-07-12,0
2015-07-19,24
2015-07-26,31
2015-08-02,46
2015-08-09,0
2015-08-16,18
2015-08-23,48
2015-08-30,37
2015-09-06,42
2015-09-13,65
2015-09-20,32
2015-09-27,0
2015-10-04,62
2015-10-11,32
2015-10-18,51
2015-10-25,30
2015-11-01,16
2015-11-08,73
2015-11-15,38
2015-11-22,32
2015-11-29,56
2015-12-06,35
2015-12-13,41
2015-12-20,25
2015-12-27,65
