Category: All categories

Week,Clothing: (Portugal)
2011-01-02,86
2011-01-09,80
2011-01-16,81
2011-01-23,73
2011-01-30,82
2011-02-06,81
2011-02-13,79
2011-02-20,88
2011-02-27,91
2011-03-06,82
2011-03-13,75
2011-03-20,76
2011-03-27,70
2011-04-03,79
2011-04-10,84
2011-04-17,83
2011-04-24,70
2011-05-01,77
2011-05-08,78
2011-05-15,75
2011-05-22,79
2011-05-29,79
2011-06-05,81
2011-06-12,76
2011-06-19,74
2011-06-26,75
2011-07-03,78
2011-07-10,74
2011-07-17,75
2011-07-24,83
2011-07-31,80
2011-08-07,80
2011-08-14,81
2011-08-21,85
2011-08-28,90
2011-09-04,86
2011-09-11,75
2011-09-18,73
2011-09-25,78
2011-10-02,81
2011-10-09,72
2011-10-16,81
2011-10-23,88
2011-10-30,93
2011-11-06,84
2011-11-13,86
2011-11-20,91
2011-11-27,87
2011-12-04,88
2011-12-11,92
2011-12-18,90
2011-12-25,92
2012-01-01,79
2012-01-08,85
2012-01-15,85
2012-01-22,80
2012-01-29,86
2012-02-05,87
2012-02-12,95
2012-02-19,95
2012-02-26,80
2012-03-04,88
2012-03-11,88
2012-03-18,85
2012-03-25,92
2012-04-01,89
2012-04-08,81
2012-04-15,81
2012-04-22,86
2012-04-29,80
2012-05-06,85
2012-05-13,83
2012-05-20,85
2012-05-27,82
2012-06-03,88
2012-06-10,82
2012-06-17,81
2012-06-24,88
2012-07-01,90
2012-07-08,85
2012-07-15,85
2012-07-22,89
2012-07-29,88
2012-08-05,89
2012-08-12,96
2012-08-19,89
2012-08-26,93
2012-09-02,90
2012-09-09,87
2012-09-16,83
2012-09-23,92
2012-09-30,90
2012-10-07,81
2012-10-14,92
2012-10-21,96
2012-10-28,96
2012-11-04,94
2012-11-11,88
2012-11-18,94
2012-11-25,100
2012-12-02,88
2012-12-09,87
2012-12-16,96
2012-12-23,98
2012-12-30,88
