Category: All categories

Week,Footwear: (Portugal)
2008-01-06,35
2008-01-13,0
2008-01-20,0
2008-01-27,48
2008-02-03,36
2008-02-10,0
2008-02-17,100
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,44
2008-04-13,0
2008-04-20,47
2008-04-27,0
2008-05-04,28
2008-05-11,37
2008-05-18,0
2008-05-25,0
2008-06-01,82
2008-06-08,64
2008-06-15,0
2008-06-22,0
2008-06-29,46
2008-07-06,0
2008-07-13,0
2008-07-20,57
2008-07-27,75
2008-08-03,0
2008-08-10,0
2008-08-17,39
2008-08-24,88
2008-08-31,37
2008-09-07,0
2008-09-14,0
2008-09-21,76
2008-09-28,52
2008-10-05,0
2008-10-12,54
2008-10-19,0
2008-10-26,25
2008-11-02,0
2008-11-09,31
2008-11-16,30
2008-11-23,27
2008-11-30,30
2008-12-07,0
2008-12-14,28
2008-12-21,0
2008-12-28,0
2009-01-04,33
2009-01-11,60
2009-01-18,26
2009-01-25,0
2009-02-01,78
2009-02-08,0
2009-02-15,0
2009-02-22,54
2009-03-01,0
2009-03-08,49
2009-03-15,0
2009-03-22,30
2009-03-29,48
2009-04-05,65
2009-04-12,47
2009-04-19,24
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,53
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,56
2009-06-28,36
2009-07-05,0
2009-07-12,0
2009-07-19,39
2009-07-26,74
2009-08-02,29
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,56
2009-09-13,0
2009-09-20,30
2009-09-27,22
2009-10-04,41
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,43
2009-11-08,26
2009-11-15,42
2009-11-22,0
2009-11-29,0
2009-12-06,50
2009-12-13,43
2009-12-20,28
2009-12-27,0
