Category: All categories

Week,Dessert: (Portugal)
2016-01-03,36
2016-01-10,47
2016-01-17,48
2016-01-24,48
2016-01-31,49
2016-02-07,63
2016-02-14,54
2016-02-21,51
2016-02-28,50
2016-03-06,46
2016-03-13,57
2016-03-20,75
2016-03-27,48
2016-04-03,41
2016-04-10,47
2016-04-17,46
2016-04-24,44
2016-05-01,57
2016-05-08,55
2016-05-15,46
2016-05-22,59
2016-05-29,38
2016-06-05,41
2016-06-12,42
2016-06-19,50
2016-06-26,48
2016-07-03,53
2016-07-10,42
2016-07-17,40
2016-07-24,42
2016-07-31,55
2016-08-07,52
2016-08-14,49
2016-08-21,50
2016-08-28,51
2016-09-04,37
2016-09-11,40
2016-09-18,42
2016-09-25,47
2016-10-02,44
2016-10-09,48
2016-10-16,52
2016-10-23,53
2016-10-30,56
2016-11-06,40
2016-11-13,46
2016-11-20,52
2016-11-27,52
2016-12-04,63
2016-12-11,54
2016-12-18,100
2016-12-25,87
