Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2006-01-01,65,6
2006-01-08,66,11
2006-01-15,60,7
2006-01-22,52,6
2006-01-29,58,0
2006-02-05,63,3
2006-02-12,44,7
2006-02-19,66,0
2006-02-26,56,7
2006-03-05,55,11
2006-03-12,57,6
2006-03-19,60,9
2006-03-26,51,0
2006-04-02,44,9
2006-04-09,42,0
2006-04-16,62,0
2006-04-23,63,10
2006-04-30,83,5
2006-05-07,92,6
2006-05-14,86,0
2006-05-21,100,5
2006-05-28,75,2
2006-06-04,97,6
2006-06-11,60,4
2006-06-18,41,6
2006-06-25,38,0
2006-07-02,33,4
2006-07-09,33,0
2006-07-16,33,12
2006-07-23,34,5
2006-07-30,28,5
2006-08-06,30,9
2006-08-13,28,4
2006-08-20,24,5
2006-08-27,35,9
2006-09-03,26,4
2006-09-10,28,5
2006-09-17,40,4
2006-09-24,52,6
2006-10-01,61,0
2006-10-08,55,0
2006-10-15,51,4
2006-10-22,62,4
2006-10-29,49,4
2006-11-05,54,5
2006-11-12,45,5
2006-11-19,56,6
2006-11-26,50,6
2006-12-03,47,5
2006-12-10,48,6
2006-12-17,32,5
2006-12-24,29,6
2006-12-31,39,2
