Category: All categories

Week,Energy: (Portugal),Vitamin: (Portugal)
2013-01-06,82,22
2013-01-13,82,21
2013-01-20,89,23
2013-01-27,78,22
2013-02-03,79,18
2013-02-10,63,20
2013-02-17,79,21
2013-02-24,84,25
2013-03-03,90,19
2013-03-10,71,25
2013-03-17,62,27
2013-03-24,70,18
2013-03-31,76,22
2013-04-07,90,26
2013-04-14,80,24
2013-04-21,74,22
2013-04-28,83,19
2013-05-05,81,22
2013-05-12,89,24
2013-05-19,97,27
2013-05-26,100,24
2013-06-02,83,21
2013-06-09,64,18
2013-06-16,62,20
2013-06-23,56,19
2013-06-30,47,22
2013-07-07,49,19
2013-07-14,54,22
2013-07-21,52,18
2013-07-28,40,17
2013-08-04,39,21
2013-08-11,34,18
2013-08-18,43,24
2013-08-25,45,21
2013-09-01,46,21
2013-09-08,53,20
2013-09-15,54,20
2013-09-22,58,26
2013-09-29,66,24
2013-10-06,68,21
2013-10-13,63,25
2013-10-20,69,25
2013-10-27,70,27
2013-11-03,73,26
2013-11-10,72,25
2013-11-17,75,28
2013-11-24,88,23
2013-12-01,98,29
2013-12-08,90,23
2013-12-15,70,21
2013-12-22,57,18
2013-12-29,66,21
