Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2008-01-06,70,0
2008-01-13,67,0
2008-01-20,66,4
2008-01-27,60,0
2008-02-03,55,4
2008-02-10,62,0
2008-02-17,74,2
2008-02-24,74,0
2008-03-02,71,2
2008-03-09,60,1
2008-03-16,51,1
2008-03-23,51,2
2008-03-30,73,0
2008-04-06,68,2
2008-04-13,71,1
2008-04-20,73,4
2008-04-27,68,0
2008-05-04,90,0
2008-05-11,81,2
2008-05-18,89,0
2008-05-25,100,1
2008-06-01,93,0
2008-06-08,78,0
2008-06-15,67,0
2008-06-22,59,0
2008-06-29,53,0
2008-07-06,49,0
2008-07-13,55,3
2008-07-20,34,0
2008-07-27,36,0
2008-08-03,34,0
2008-08-10,28,0
2008-08-17,41,0
2008-08-24,34,2
2008-08-31,36,0
2008-09-07,40,0
2008-09-14,53,2
2008-09-21,61,2
2008-09-28,63,0
2008-10-05,66,2
2008-10-12,58,0
2008-10-19,57,2
2008-10-26,59,1
2008-11-02,52,0
2008-11-09,63,0
2008-11-16,73,0
2008-11-23,60,1
2008-11-30,58,2
2008-12-07,57,0
2008-12-14,63,1
2008-12-21,38,0
2008-12-28,48,0
