Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2011-01-02,66,32
2011-01-09,82,28
2011-01-16,79,32
2011-01-23,77,36
2011-01-30,74,26
2011-02-06,81,24
2011-02-13,72,31
2011-02-20,83,29
2011-02-27,76,31
2011-03-06,64,31
2011-03-13,87,28
2011-03-20,80,30
2011-03-27,76,35
2011-04-03,69,35
2011-04-10,53,32
2011-04-17,58,39
2011-04-24,73,27
2011-05-01,82,34
2011-05-08,83,27
2011-05-15,93,28
2011-05-22,100,32
2011-05-29,98,35
2011-06-05,89,32
2011-06-12,98,32
2011-06-19,80,30
2011-06-26,100,30
2011-07-03,83,34
2011-07-10,81,34
2011-07-17,92,32
2011-07-24,78,35
2011-07-31,56,43
2011-08-07,46,40
2011-08-14,43,30
2011-08-21,52,35
2011-08-28,44,42
2011-09-04,52,36
2011-09-11,49,35
2011-09-18,58,28
2011-09-25,61,36
2011-10-02,65,33
2011-10-09,61,31
2011-10-16,73,31
2011-10-23,64,27
2011-10-30,58,29
2011-11-06,68,30
2011-11-13,71,26
2011-11-20,65,36
2011-11-27,62,28
2011-12-04,58,28
2011-12-11,67,30
2011-12-18,40,32
2011-12-25,51,42
