Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2014-01-05,85,44
2014-01-12,80,50
2014-01-19,80,43
2014-01-26,82,46
2014-02-02,73,54
2014-02-09,80,49
2014-02-16,71,47
2014-02-23,76,45
2014-03-02,68,51
2014-03-09,72,45
2014-03-16,81,39
2014-03-23,86,47
2014-03-30,77,46
2014-04-06,62,39
2014-04-13,61,50
2014-04-20,67,50
2014-04-27,67,48
2014-05-04,79,39
2014-05-11,86,37
2014-05-18,99,41
2014-05-25,100,40
2014-06-01,97,47
2014-06-08,88,39
2014-06-15,84,32
2014-06-22,78,38
2014-06-29,69,37
2014-07-06,69,41
2014-07-13,61,36
2014-07-20,52,41
2014-07-27,51,40
2014-08-03,48,42
2014-08-10,41,35
2014-08-17,51,36
2014-08-24,46,35
2014-08-31,62,39
2014-09-07,56,39
2014-09-14,66,41
2014-09-21,66,44
2014-09-28,72,47
2014-10-05,79,52
2014-10-12,71,58
2014-10-19,64,52
2014-10-26,74,62
2014-11-02,72,62
2014-11-09,76,56
2014-11-16,67,57
2014-11-23,66,57
2014-11-30,63,52
2014-12-07,74,50
2014-12-14,65,54
2014-12-21,58,65
2014-12-28,73,68
