Category: All categories

Week,Used car: (Portugal)
2016-01-03,96
2016-01-10,93
2016-01-17,88
2016-01-24,94
2016-01-31,85
2016-02-07,83
2016-02-14,84
2016-02-21,85
2016-02-28,92
2016-03-06,85
2016-03-13,90
2016-03-20,91
2016-03-27,85
2016-04-03,74
2016-04-10,88
2016-04-17,85
2016-04-24,73
2016-05-01,80
2016-05-08,90
2016-05-15,77
2016-05-22,81
2016-05-29,76
2016-06-05,73
2016-06-12,73
2016-06-19,70
2016-06-26,67
2016-07-03,75
2016-07-10,76
2016-07-17,91
2016-07-24,83
2016-07-31,81
2016-08-07,87
2016-08-14,88
2016-08-21,89
2016-08-28,91
2016-09-04,89
2016-09-11,100
2016-09-18,90
2016-09-25,94
2016-10-02,79
2016-10-09,78
2016-10-16,91
2016-10-23,81
2016-10-30,95
2016-11-06,80
2016-11-13,87
2016-11-20,68
2016-11-27,81
2016-12-04,71
2016-12-11,76
2016-12-18,78
2016-12-25,80
