Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2013-01-06,85,36
2013-01-13,81,37
2013-01-20,88,35
2013-01-27,79,36
2013-02-03,76,35
2013-02-10,62,46
2013-02-17,78,37
2013-02-24,84,44
2013-03-03,88,41
2013-03-10,73,43
2013-03-17,60,36
2013-03-24,70,43
2013-03-31,75,30
2013-04-07,88,31
2013-04-14,82,40
2013-04-21,76,31
2013-04-28,83,38
2013-05-05,79,38
2013-05-12,89,32
2013-05-19,97,41
2013-05-26,99,31
2013-06-02,81,31
2013-06-09,63,32
2013-06-16,64,32
2013-06-23,55,34
2013-06-30,47,26
2013-07-07,49,28
2013-07-14,55,32
2013-07-21,48,35
2013-07-28,41,28
2013-08-04,40,38
2013-08-11,34,33
2013-08-18,43,28
2013-08-25,43,34
2013-09-01,46,28
2013-09-08,52,34
2013-09-15,54,35
2013-09-22,59,42
2013-09-29,65,41
2013-10-06,65,38
2013-10-13,65,41
2013-10-20,68,48
2013-10-27,71,50
2013-11-03,75,47
2013-11-10,72,47
2013-11-17,75,48
2013-11-24,88,43
2013-12-01,100,40
2013-12-08,88,50
2013-12-15,67,49
2013-12-22,56,62
2013-12-29,65,52
