Category: All categories

Week,Video game: (Portugal)
2007-01-07,49
2007-01-14,51
2007-01-21,49
2007-01-28,50
2007-02-04,46
2007-02-11,47
2007-02-18,59
2007-02-25,45
2007-03-04,46
2007-03-11,42
2007-03-18,52
2007-03-25,56
2007-04-01,59
2007-04-08,49
2007-04-15,39
2007-04-22,50
2007-04-29,47
2007-05-06,43
2007-05-13,44
2007-05-20,49
2007-05-27,46
2007-06-03,48
2007-06-10,48
2007-06-17,56
2007-06-24,54
2007-07-01,53
2007-07-08,56
2007-07-15,54
2007-07-22,57
2007-07-29,53
2007-08-05,55
2007-08-12,64
2007-08-19,63
2007-08-26,58
2007-09-02,58
2007-09-09,52
2007-09-16,46
2007-09-23,47
2007-09-30,55
2007-10-07,46
2007-10-14,50
2007-10-21,48
2007-10-28,56
2007-11-04,46
2007-11-11,47
2007-11-18,52
2007-11-25,50
2007-12-02,54
2007-12-09,62
2007-12-16,69
2007-12-23,75
2007-12-30,59
2008-01-06,48
2008-01-13,54
2008-01-20,47
2008-01-27,51
2008-02-03,58
2008-02-10,46
2008-02-17,48
2008-02-24,46
2008-03-02,48
2008-03-09,53
2008-03-16,68
2008-03-23,57
2008-03-30,47
2008-04-06,44
2008-04-13,48
2008-04-20,52
2008-04-27,52
2008-05-04,43
2008-05-11,49
2008-05-18,51
2008-05-25,44
2008-06-01,47
2008-06-08,58
2008-06-15,52
2008-06-22,54
2008-06-29,59
2008-07-06,57
2008-07-13,54
2008-07-20,55
2008-07-27,57
2008-08-03,64
2008-08-10,76
2008-08-17,66
2008-08-24,63
2008-08-31,63
2008-09-07,56
2008-09-14,51
2008-09-21,51
2008-09-28,47
2008-10-05,47
2008-10-12,51
2008-10-19,48
2008-10-26,50
2008-11-02,59
2008-11-09,53
2008-11-16,50
2008-11-23,57
2008-11-30,66
2008-12-07,63
2008-12-14,74
2008-12-21,100
2008-12-28,93
