Category: All categories

Week,Energy: (Portugal)
2015-01-04,88
2015-01-11,100
2015-01-18,91
2015-01-25,84
2015-02-01,75
2015-02-08,76
2015-02-15,69
2015-02-22,94
2015-03-01,82
2015-03-08,83
2015-03-15,82
2015-03-22,72
2015-03-29,58
2015-04-05,70
2015-04-12,81
2015-04-19,78
2015-04-26,71
2015-05-03,78
2015-05-10,82
2015-05-17,78
2015-05-24,81
2015-05-31,71
2015-06-07,75
2015-06-14,67
2015-06-21,55
2015-06-28,55
2015-07-05,48
2015-07-12,51
2015-07-19,50
2015-07-26,57
2015-08-02,41
2015-08-09,44
2015-08-16,45
2015-08-23,43
2015-08-30,56
2015-09-06,52
2015-09-13,49
2015-09-20,57
2015-09-27,63
2015-10-04,62
2015-10-11,66
2015-10-18,64
2015-10-25,68
2015-11-01,68
2015-11-08,63
2015-11-15,63
2015-11-22,70
2015-11-29,71
2015-12-06,63
2015-12-13,63
2015-12-20,43
2015-12-27,54
