Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2013-01-06,85,48
2013-01-13,81,56
2013-01-20,87,56
2013-01-27,77,60
2013-02-03,76,54
2013-02-10,63,52
2013-02-17,76,59
2013-02-24,82,48
2013-03-03,87,60
2013-03-10,70,51
2013-03-17,61,54
2013-03-24,70,58
2013-03-31,75,58
2013-04-07,89,59
2013-04-14,80,54
2013-04-21,75,52
2013-04-28,86,58
2013-05-05,78,53
2013-05-12,89,58
2013-05-19,97,56
2013-05-26,100,51
2013-06-02,81,50
2013-06-09,63,57
2013-06-16,62,44
2013-06-23,55,48
2013-06-30,49,41
2013-07-07,49,45
2013-07-14,54,47
2013-07-21,47,58
2013-07-28,40,55
2013-08-04,39,54
2013-08-11,34,53
2013-08-18,42,65
2013-08-25,44,58
2013-09-01,44,49
2013-09-08,51,59
2013-09-15,53,60
2013-09-22,59,60
2013-09-29,65,56
2013-10-06,65,59
2013-10-13,63,60
2013-10-20,67,57
2013-10-27,69,56
2013-11-03,71,58
2013-11-10,72,64
2013-11-17,74,57
2013-11-24,87,56
2013-12-01,98,50
2013-12-08,87,51
2013-12-15,65,46
2013-12-22,54,46
2013-12-29,65,52
