Category: All categories

Week,Furniture: (Portugal)
2007-01-07,86
2007-01-14,79
2007-01-21,92
2007-01-28,90
2007-02-04,84
2007-02-11,57
2007-02-18,60
2007-02-25,100
2007-03-04,85
2007-03-11,92
2007-03-18,74
2007-03-25,90
2007-04-01,79
2007-04-08,75
2007-04-15,74
2007-04-22,71
2007-04-29,68
2007-05-06,76
2007-05-13,64
2007-05-20,79
2007-05-27,72
2007-06-03,72
2007-06-10,81
2007-06-17,63
2007-06-24,92
2007-07-01,72
2007-07-08,70
2007-07-15,77
2007-07-22,76
2007-07-29,81
2007-08-05,67
2007-08-12,77
2007-08-19,95
2007-08-26,96
2007-09-02,76
2007-09-09,74
2007-09-16,74
2007-09-23,89
2007-09-30,79
2007-10-07,80
2007-10-14,72
2007-10-21,65
2007-10-28,73
2007-11-04,70
2007-11-11,54
2007-11-18,69
2007-11-25,71
2007-12-02,75
2007-12-09,51
2007-12-16,39
2007-12-23,61
2007-12-30,64
