Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2013-01-06,72,68
2013-01-13,68,76
2013-01-20,74,75
2013-01-27,66,74
2013-02-03,64,77
2013-02-10,51,78
2013-02-17,65,77
2013-02-24,71,71
2013-03-03,74,79
2013-03-10,61,72
2013-03-17,51,94
2013-03-24,59,100
2013-03-31,63,84
2013-04-07,74,82
2013-04-14,69,89
2013-04-21,63,77
2013-04-28,69,71
2013-05-05,66,65
2013-05-12,75,80
2013-05-19,81,72
2013-05-26,83,72
2013-06-02,68,67
2013-06-09,53,77
2013-06-16,54,73
2013-06-23,46,68
2013-06-30,40,70
2013-07-07,41,68
2013-07-14,46,74
2013-07-21,41,75
2013-07-28,34,78
2013-08-04,34,83
2013-08-11,28,91
2013-08-18,36,85
2013-08-25,36,74
2013-09-01,38,79
2013-09-08,44,82
2013-09-15,45,81
2013-09-22,50,85
2013-09-29,55,81
2013-10-06,55,85
2013-10-13,55,80
2013-10-20,57,82
2013-10-27,59,77
2013-11-03,62,84
2013-11-10,60,84
2013-11-17,62,78
2013-11-24,74,70
2013-12-01,84,76
2013-12-08,74,80
2013-12-15,56,70
2013-12-22,47,95
2013-12-29,55,93
